날짜,지점,강수량
2021-08-17,127,0
2021-08-18,127,0
2021-08-19,127,
2021-08-20,127,
2021-08-21,127,21.1
2021-08-22,127,5.4
2021-08-23,127,32.1
2021-08-24,127,21.6
2021-08-25,127,37.5
2021-08-26,127,
2021-08-27,127,16.7
2021-08-28,127,
2021-08-29,127,23.3
2021-08-30,127,0.1
2021-08-31,127,6.6
2021-09-01,127,111.5
2021-09-02,127,
2021-09-03,127,
2021-09-04,127,
2021-09-05,127,
2021-09-06,127,13.6
2021-09-07,127,18.5
2021-09-08,127,1.6
2021-09-09,127,
2021-09-10,127,0
2021-09-11,127,
2021-09-12,127,
2021-09-13,127,
2021-09-14,127,
2021-09-15,127,
2021-09-16,127,0.6
2021-09-17,127,34.3
2021-09-18,127,
2021-09-19,127,
2021-09-20,127,
2021-09-21,127,30.3
2021-09-22,127,9.1
2021-09-23,127,
2021-09-24,127,
2021-09-25,127,0
2021-09-26,127,
2021-09-27,127,0.5
2021-09-28,127,0.8
2021-09-29,127,19.5
2021-09-30,127,
2021-10-01,127,7.3
2021-10-02,127,1.5
2021-10-03,127,
2021-10-04,127,
2021-10-05,127,
2021-10-06,127,1.2
2021-10-07,127,0.4
2021-10-08,127,1.1
2021-10-09,127,0
2021-10-10,127,2.5
2021-10-11,127,11.9
2021-10-12,127,0.4
2021-10-13,127,
2021-10-14,127,
2021-10-15,127,4.4
2021-10-16,127,13.6
2021-10-17,127,
2021-10-18,127,
2021-10-19,127,1.2
2021-10-20,127,
2021-10-21,127,
2021-10-22,127,
2021-10-23,127,
2021-10-24,127,
2021-10-25,127,
2021-10-26,127,
2021-10-27,127,
2021-10-28,127,
2021-10-29,127,
2021-10-30,127,
2021-10-31,127,
