날짜,지점,강수량
2021-08-20,278,
2021-08-21,278,16.3
2021-08-22,278,0.1
2021-08-23,278,37
2021-08-24,278,42.1
2021-08-25,278,2.3
2021-08-26,278,0.7
2021-08-27,278,19.8
2021-08-28,278,
2021-08-29,278,11.5
2021-08-30,278,
2021-08-31,278,8.8
2021-09-01,278,48.2
2021-09-02,278,0.2
2021-09-03,278,0.2
2021-09-04,278,
2021-09-05,278,0.1
2021-09-06,278,2.3
2021-09-07,278,9.8
2021-09-08,278,
2021-09-09,278,
2021-09-10,278,
2021-09-11,278,
2021-09-12,278,
2021-09-13,278,
2021-09-14,278,
2021-09-15,278,
2021-09-16,278,
2021-09-17,278,35.1
2021-09-18,278,
2021-09-19,278,
2021-09-20,278,
2021-09-21,278,13
2021-09-22,278,
2021-09-23,278,
2021-09-24,278,
2021-09-25,278,0.2
2021-09-26,278,
2021-09-27,278,0
2021-09-28,278,0
2021-09-29,278,14.9
2021-09-30,278,1.9
2021-10-01,278,
2021-10-02,278,
2021-10-03,278,
2021-10-04,278,
2021-10-05,278,
2021-10-06,278,
2021-10-07,278,
2021-10-08,278,1.1
2021-10-09,278,
2021-10-10,278,0
2021-10-11,278,29.4
2021-10-12,278,1.7
2021-10-13,278,
2021-10-14,278,
2021-10-15,278,8.1
2021-10-16,278,13.5
2021-10-17,278,
2021-10-18,278,
2021-10-19,278,
2021-10-20,278,
2021-10-21,278,
2021-10-22,278,0.4
2021-10-23,278,
2021-10-24,278,
2021-10-25,278,
2021-10-26,278,
2021-10-27,278,
2021-10-28,278,
2021-10-29,278,
2021-10-30,278,
2021-10-31,278,
