날짜,지점,강수량
2021-08-18,177,0
2021-08-19,177,26.9
2021-08-20,177,9.8
2021-08-21,177,33
2021-08-22,177,5.8
2021-08-23,177,85.7
2021-08-24,177,5.9
2021-08-25,177,30.9
2021-08-26,177,0
2021-08-27,177,14.8
2021-08-28,177,0
2021-08-29,177,30.1
2021-08-30,177,0
2021-08-31,177,22
2021-09-01,177,147.4
2021-09-02,177,1.5
2021-09-03,177,
2021-09-04,177,
2021-09-05,177,0.8
2021-09-06,177,44
2021-09-07,177,4
2021-09-08,177,0
2021-09-09,177,
2021-09-10,177,
2021-09-11,177,
2021-09-12,177,
2021-09-13,177,
2021-09-14,177,
2021-09-15,177,
2021-09-16,177,5.5
2021-09-17,177,2.3
2021-09-18,177,
2021-09-19,177,
2021-09-20,177,
2021-09-21,177,34.3
2021-09-22,177,1.8
2021-09-23,177,
2021-09-24,177,
2021-09-25,177,
2021-09-26,177,
2021-09-27,177,0
2021-09-28,177,0.6
2021-09-29,177,18
2021-09-30,177,
2021-10-01,177,1.2
2021-10-02,177,3.4
2021-10-03,177,
2021-10-04,177,
2021-10-05,177,0
2021-10-06,177,
2021-10-07,177,6.1
2021-10-08,177,0.6
2021-10-09,177,0
2021-10-10,177,13.2
2021-10-11,177,0.2
2021-10-12,177,0.6
2021-10-13,177,
2021-10-14,177,
2021-10-15,177,1
2021-10-16,177,0.8
2021-10-17,177,
2021-10-18,177,
2021-10-19,177,14.5
2021-10-20,177,
2021-10-21,177,
2021-10-22,177,
2021-10-23,177,
2021-10-24,177,
2021-10-25,177,
2021-10-26,177,
2021-10-27,177,0
2021-10-28,177,
2021-10-29,177,
2021-10-30,177,
2021-10-31,177,
