날짜,지점,강수량
2021-08-18,226,
2021-08-19,226,2.8
2021-08-20,226,
2021-08-21,226,52.4
2021-08-22,226,0.2
2021-08-23,226,48
2021-08-24,226,22.2
2021-08-25,226,26.4
2021-08-26,226,0
2021-08-27,226,19.9
2021-08-28,226,0
2021-08-29,226,17.1
2021-08-30,226,0.4
2021-08-31,226,3
2021-09-01,226,52.8
2021-09-02,226,0
2021-09-03,226,
2021-09-04,226,
2021-09-05,226,0.9
2021-09-06,226,19
2021-09-07,226,12.7
2021-09-08,226,0.8
2021-09-09,226,
2021-09-10,226,
2021-09-11,226,
2021-09-12,226,
2021-09-13,226,
2021-09-14,226,
2021-09-15,226,
2021-09-16,226,0
2021-09-17,226,8.6
2021-09-18,226,
2021-09-19,226,
2021-09-20,226,
2021-09-21,226,35.9
2021-09-22,226,8.2
2021-09-23,226,
2021-09-24,226,
2021-09-25,226,
2021-09-26,226,
2021-09-27,226,0.1
2021-09-28,226,1.2
2021-09-29,226,22
2021-09-30,226,
2021-10-01,226,0.1
2021-10-02,226,0.5
2021-10-03,226,
2021-10-04,226,
2021-10-05,226,
2021-10-06,226,
2021-10-07,226,2.1
2021-10-08,226,0.3
2021-10-09,226,0
2021-10-10,226,1.3
2021-10-11,226,12.8
2021-10-12,226,0.1
2021-10-13,226,
2021-10-14,226,
2021-10-15,226,10.2
2021-10-16,226,5.4
2021-10-17,226,
2021-10-18,226,
2021-10-19,226,1
2021-10-20,226,
2021-10-21,226,
2021-10-22,226,
2021-10-23,226,
2021-10-24,226,
2021-10-25,226,
2021-10-26,226,
2021-10-27,226,
2021-10-28,226,
2021-10-29,226,
2021-10-30,226,
2021-10-31,226,
