날짜,지점,강수량
2021-08-13,252,5.9
2021-08-14,252,7.8
2021-08-15,252,4.1
2021-08-16,252,
2021-08-17,252,
2021-08-18,252,11.6
2021-08-19,252,
2021-08-20,252,
2021-08-21,252,41.1
2021-08-22,252,0
2021-08-23,252,22.2
2021-08-24,252,47.2
2021-08-25,252,1.4
2021-08-26,252,
2021-08-27,252,42.5
2021-08-28,252,
2021-08-29,252,34.1
2021-08-30,252,7.1
2021-08-31,252,
2021-09-01,252,2.2
2021-09-02,252,5.6
2021-09-03,252,6.3
2021-09-04,252,
2021-09-05,252,3.5
2021-09-06,252,4.6
2021-09-07,252,2.1
2021-09-08,252,0.1
2021-09-09,252,
2021-09-10,252,0
2021-09-11,252,
2021-09-12,252,
2021-09-13,252,
2021-09-14,252,0.3
2021-09-15,252,
2021-09-16,252,1.2
2021-09-17,252,0.2
2021-09-18,252,
2021-09-19,252,
2021-09-20,252,
2021-09-21,252,71
2021-09-22,252,0
2021-09-23,252,
2021-09-24,252,
2021-09-25,252,
2021-09-26,252,0
2021-09-27,252,0.4
2021-09-28,252,1.3
2021-09-29,252,17.6
2021-09-30,252,0
2021-10-01,252,
2021-10-02,252,
2021-10-03,252,
2021-10-04,252,
2021-10-05,252,
2021-10-06,252,
2021-10-07,252,0
2021-10-08,252,2.9
2021-10-09,252,0
2021-10-10,252,12.8
2021-10-11,252,6.9
2021-10-12,252,6.8
2021-10-13,252,
2021-10-14,252,
2021-10-15,252,10.9
2021-10-16,252,4.3
2021-10-17,252,
2021-10-18,252,
2021-10-19,252,6
2021-10-20,252,
2021-10-21,252,
2021-10-22,252,0.1
2021-10-23,252,
2021-10-24,252,
2021-10-25,252,
2021-10-26,252,
2021-10-27,252,
2021-10-28,252,
2021-10-29,252,
2021-10-30,252,
2021-10-31,252,
