날짜,지점,강수량
2021-08-15,248,
2021-08-16,248,
2021-08-17,248,
2021-08-18,248,6.7
2021-08-19,248,3.4
2021-08-20,248,0
2021-08-21,248,41
2021-08-22,248,0
2021-08-23,248,42
2021-08-24,248,107.7
2021-08-25,248,16.8
2021-08-26,248,1.4
2021-08-27,248,51.8
2021-08-28,248,
2021-08-29,248,29.7
2021-08-30,248,0.4
2021-08-31,248,1.2
2021-09-01,248,36.1
2021-09-02,248,6.2
2021-09-03,248,1.4
2021-09-04,248,
2021-09-05,248,3
2021-09-06,248,9.9
2021-09-07,248,2.7
2021-09-08,248,0.1
2021-09-09,248,
2021-09-10,248,0
2021-09-11,248,
2021-09-12,248,
2021-09-13,248,
2021-09-14,248,0
2021-09-15,248,
2021-09-16,248,0.2
2021-09-17,248,14.1
2021-09-18,248,
2021-09-19,248,
2021-09-20,248,
2021-09-21,248,13.9
2021-09-22,248,0.5
2021-09-23,248,
2021-09-24,248,
2021-09-25,248,
2021-09-26,248,
2021-09-27,248,0
2021-09-28,248,0.2
2021-09-29,248,21.6
2021-09-30,248,1.9
2021-10-01,248,
2021-10-02,248,
2021-10-03,248,
2021-10-04,248,
2021-10-05,248,
2021-10-06,248,
2021-10-07,248,0.7
2021-10-08,248,0.7
2021-10-09,248,
2021-10-10,248,5.7
2021-10-11,248,15
2021-10-12,248,11.9
2021-10-13,248,0.4
2021-10-14,248,
2021-10-15,248,8.8
2021-10-16,248,6.4
2021-10-17,248,
2021-10-18,248,
2021-10-19,248,0.2
2021-10-20,248,
2021-10-21,248,
2021-10-22,248,
2021-10-23,248,
2021-10-24,248,
2021-10-25,248,
2021-10-26,248,
2021-10-27,248,
2021-10-28,248,
2021-10-29,248,
2021-10-30,248,
2021-10-31,248,
